,intent_loss,intent_acc,set
0,1.4185380812038006,0.6566228601278246,train
1,0.7370541238341292,0.8094932646457778,valid
2,0.4850106886075109,0.8746325437036864,train
3,0.550793742258018,0.8649775500936796,valid
4,0.36398573008742935,0.9055853364130793,train
5,0.48329743656919427,0.882617062448767,valid
6,0.3212209170857825,0.9167819471481287,train
7,0.4511561496201198,0.8899935852877218,valid
8,0.2874728616300636,0.9242607643504096,train
9,0.4401665053129043,0.8938422067720513,valid
10,0.2634432053297485,0.9305723673040307,train
11,0.40933430831427753,0.9021808854122052,valid
12,0.25023589297271037,0.933425557751485,train
13,0.4440821443443653,0.8960872357896386,valid
14,0.23546380533564776,0.9381376448416409,train
15,0.42800755398330054,0.9002565743068306,valid
16,0.2117651937954281,0.9438007954555091,train
17,0.41522845214876786,0.9021808847622508,valid
18,0.2090029687941662,0.9426768113848207,train
19,0.4143390011967108,0.9018601669265033,valid
20,0.2028371756740163,0.9448815493894535,train
21,0.42346946930487694,0.9015394485937318,valid
22,0.19416960229742553,0.9455732319071778,train
23,0.3990806095144395,0.9079538161285111,valid
24,0.18298159864366045,0.9486858032369374,train
25,0.39412581200894825,0.9079538167020004,valid
26,0.1816257839826292,0.9482102715060019,train
27,0.42048608199612614,0.9025016038979071,valid
28,0.17243408750450862,0.9515389936225505,train
29,0.434394222907029,0.909878127310351,valid
30,0.17072355968820663,0.9535708110286727,train
31,0.41365717633402144,0.9089159715091517,valid
32,0.17245104033374342,0.9517983745666971,train
33,0.4204295603719715,0.9079538167020004,valid
34,0.16081472309591313,0.9540463427286875,train
35,0.42522855302781304,0.9041051960205557,valid
36,0.15975909543175526,0.9549541760538145,train
37,0.43737004317864153,0.8989737013963035,valid
38,0.1512073742777506,0.9543057236934479,train
39,0.4251029198180413,0.9018601664294793,valid
40,0.060287802570181265,0.9870814658581598,valid
