,intent_loss,intent_acc,set
0,1.2843439176861604,0.686278748054643,train
1,0.6310496900309501,0.8470173185264704,valid
2,0.3419694425056658,0.9150527408744314,train
3,0.5224036296030281,0.8848620914663543,valid
4,0.2539111930060795,0.936840740100294,train
5,0.4695260419227742,0.8941629253342184,valid
6,0.20704634496132107,0.9449247795880387,train
7,0.4554036834287368,0.8989737008228142,valid
8,0.17618146035501378,0.9546947950890541,train
9,0.45781546313079063,0.899294419729075,valid
10,0.15972061598901824,0.9569427632716583,train
11,0.4371943832820161,0.9047466325331682,valid
12,0.13573869476882353,0.9637731281754139,train
13,0.45990865062527964,0.9012187302609603,valid
14,0.12937305759063294,0.9646377312813419,train
15,0.43268832898889314,0.9002565751097155,valid
16,0.10986425594260654,0.9690039771950907,train
17,0.48241034002928035,0.9012187295345406,valid
18,0.10118522896870556,0.9706899533526575,train
19,0.5056083464255464,0.8999358565475484,valid
20,0.09604188616331341,0.9722462389969236,train
21,0.49176269012662827,0.9008980117752584,valid
22,0.09327544497875824,0.9739754452706207,train
23,0.5013149327540566,0.905067350445381,valid
24,0.08411290478808398,0.9757478817429032,train
25,0.507998582910008,0.9031430405634501,valid
26,0.07591049352375082,0.9762666436105828,train
27,0.5208333239217383,0.8986529829106016,valid
28,0.07090462046074203,0.9798547466918917,train
29,0.578186540514938,0.9018601670029684,valid
30,0.07149458847799536,0.9790766038594517,train
31,0.5134532511272516,0.9060295064759759,valid
32,0.06994775094374688,0.9795089054124158,train
33,0.54838377004101,0.9037844775348538,valid
34,0.0658082081212403,0.9800708974580667,train
35,0.5845993781716797,0.9005772935189522,valid
36,0.05716177310453821,0.9817568735950198,train
37,0.48952789632382493,0.9060295064759759,valid
38,0.05843742693027637,0.9829240878436798,train
39,0.5375180563305799,0.9066709432944493,valid
40,0.05948200329594519,0.9831402386304686,train
41,0.5610457234194525,0.9073123799599923,valid
42,0.05625234042082872,0.983269929102542,train
43,0.5218049556953621,0.9031430406399152,valid
44,0.054027557517343096,0.9842642227217707,train
45,0.5218857389524092,0.9089159715856169,valid
46,0.05110902905067358,0.9843939132350715,train
47,0.5434168028556207,0.9095574088246491,valid
48,0.051470756819273634,0.9845668338232751,train
49,0.5322534861359709,0.9085952529469845,valid
50,0.04606237691639823,0.9854746671277883,train
51,0.5954654739788513,0.9034637583991975,valid
52,0.04741192510190172,0.9857772782292927,train
53,0.5421151744011811,0.9050673510188701,valid
54,0.04798206946239733,0.9852585163409995,train
55,0.5689955394550192,0.901539448670197,valid
56,0.04252818691171094,0.9875929448383192,train
57,0.5543878270579577,0.9063502246558169,valid
58,0.04131960832632559,0.9871606432647415,train
59,0.5754162463108036,0.9047466320361442,valid
60,0.08083720547591211,0.9841813867650936,valid
61,0.0713857819527317,0.9854996045503835,valid
