,intent_loss,intent_acc,set
0,1.2674820351169684,0.694878161701057,train
1,0.917428818203154,0.7629629630891104,valid
2,0.39940191768801203,0.899877951267186,train
3,0.898395362606755,0.7904761904131168,valid
4,0.31319194820150875,0.9207945793552293,train
5,1.0124950753107693,0.7731922397537837,valid
6,0.2675399702315298,0.9320735659298685,train
7,0.856802977203692,0.796119929495312,valid
8,0.23602042500995626,0.9393964900492238,train
9,0.9007332219438368,0.79506172847916,valid
10,0.217910732413742,0.9425108370884897,train
11,0.8477515920339648,0.8024691359916902,valid
12,0.20490847490917607,0.9464668995437736,train
13,0.9213110388061146,0.7985890652977811,valid
14,0.19295151055017198,0.9477294726703088,train
15,1.005941098539497,0.7894179893549157,valid
16,0.17910911236957822,0.9497495896687517,train
17,1.0065294201622144,0.797178130700685,valid
18,0.17106783105831275,0.9540002525171333,train
19,0.9975333173123617,0.7961199293481399,valid
20,0.15810531878662898,0.9556836833466605,train
21,0.9761526364708283,0.7922398589485747,valid
22,0.15624739404459362,0.9566937418483904,train
23,1.0005563503850705,0.7834215169440711,valid
24,0.13876184064092661,0.9605235469887631,train
25,1.0956323736559146,0.7894179894600386,valid
26,0.13475786690461425,0.9606077185328734,train
27,1.157525731478629,0.7844797177079283,valid
28,0.1310701248723239,0.9629645216952148,train
29,1.1444185852373718,0.7837742502727206,valid
30,0.1339171673883207,0.9626699213021171,train
31,1.1203975794386822,0.7880070548629424,valid
32,0.11927898553145623,0.9652792390917724,train
33,1.191607611267655,0.7834215168389483,valid
34,0.12244693438538705,0.964858381381255,train
35,1.0384745456554272,0.8042328043169025,valid
36,0.1237032804932113,0.9653213248625733,train
37,1.0365032082880195,0.817636684450523,valid
38,0.1143370034711441,0.9673414418585077,train
39,1.0511647516247247,0.8007054674982814,valid
40,1.0956482526562268,0.8062082972601251,valid
41,1.0696985481232881,0.8183928053725585,valid
