,intent_loss,intent_acc,set
0,1.4249153725523325,0.6545045824379074,train
1,0.45967561956626474,0.8928800516208064,valid
2,0.4778877921259447,0.8761023690950782,train
3,0.31048484537523474,0.9246311741352388,valid
4,0.3660907017644582,0.9049801141482292,train
5,0.26533530173659553,0.9329698527753927,valid
6,0.32123356618498633,0.9163496455333234,train
7,0.25515471092013686,0.9361770367148291,valid
8,0.28575126221492053,0.9244336850210682,train
9,0.22993004216912313,0.9416292496718528,valid
10,0.2587704946224652,0.9306588275981325,train
11,0.22384272134403452,0.9445157155079135,valid
12,0.24295215175321064,0.933555248161717,train
13,0.24424206491289727,0.938101347093784,valid
14,0.22454287375905008,0.938742867024036,train
15,0.2050053712370076,0.9461193074011665,valid
16,0.2243199050684155,0.9384402559431453,train
17,0.2137403093407443,0.9451571524028521,valid
18,0.20063809333902194,0.9448383192527094,train
19,0.21081107257936457,0.9509300834632516,valid
20,0.19372477241861516,0.9461352239322152,train
21,0.21230921566467242,0.9470814624759462,valid
22,0.1868529009474781,0.9477347397750665,train
23,0.19258733308797008,0.9538165492228471,valid
24,0.18685115599908486,0.9473456683794602,train
25,0.1993354358271271,0.9490057730078315,valid
26,0.17710993989088453,0.9514093031504771,train
27,0.2102947943987871,0.9515715202052598,valid
28,0.17906085003541658,0.9502853191004025,train
29,0.21446877575077408,0.9490057730078315,valid
30,0.16902487065444022,0.9521874459623033,train
31,0.1941748108808011,0.9531751124808389,valid
32,0.17020978211142934,0.9517551443887255,train
33,0.19346376922222916,0.9518922386144965,valid
34,0.16218283018585247,0.9537437316271832,train
35,0.1993165912920271,0.955740859601802,valid
36,0.1616820361843349,0.9534411205462925,train
37,0.19242110794423253,0.9512508019489535,valid
38,0.15708860110207432,0.9546947950890541,train
39,0.1984572777329843,0.9538165491463818,valid
40,0.2040995265291638,0.9509622989875045,valid
41,0.19695167948663503,0.9509622989875045,valid
