,intent_loss,intent_acc,set
0,1.190124428156605,0.7118808130996004,train
1,0.8956905654288263,0.7788359788149543,valid
2,0.31066745706710003,0.9241614410193008,train
3,0.840437509059065,0.8017636683672614,valid
4,0.22238693959039899,0.9428896090256977,train
5,0.8759260686827295,0.8176366841982281,valid
6,0.18382979070941866,0.9519380497453811,train
7,0.8129289186190045,0.8306878307298798,valid
8,0.155341168379303,0.9585034299928288,train
9,0.8788313523802177,0.8370370372262581,valid
10,0.13904481748956446,0.9637641513429404,train
11,0.921922644778324,0.8370370369319142,valid
12,0.12183657381252438,0.9663734691300871,train
13,0.9721026252186488,0.8391534391954882,valid
14,0.10705001475359624,0.9686461007533353,train
15,0.956011291029592,0.8458553791256388,valid
16,0.09807495358307741,0.9722233912714111,train
17,0.943952056234686,0.8412698414170132,valid
18,0.08861592581475966,0.9742435082723625,train
19,1.0294383824292104,0.8366843033930191,valid
20,0.08889569173023788,0.9741593367282522,train
21,0.9761009906755344,0.8391534391954882,valid
22,0.08025787236059782,0.977526198394832,train
23,0.9516068509016088,0.852557319413207,valid
24,0.07498864276484919,0.9784520853499432,train
25,1.035656162586582,0.8426807759089865,valid
26,0.06499543141746597,0.9809772315979968,train
27,1.0089221342425707,0.8437389772194823,valid
28,0.0608127372923027,0.9818610327848154,train
29,1.1335694900896183,0.8296296297137279,valid
30,0.057953243377578866,0.98261857666174,train
31,1.1084148348954619,0.8356261022296952,valid
32,0.05845035213699124,0.9819872900972181,train
33,1.1258805246159724,0.8416225748507855,valid
34,0.06000690771482628,0.9821556331804216,train
35,1.133189303408224,0.8370370369319142,valid
36,0.055842972915284256,0.9837548924758727,train
37,1.090454027427252,0.8451499119637504,valid
38,0.05310037680770478,0.9842178359496654,train
39,1.1607890672364143,0.831746031682958,valid
40,0.046487868200856035,0.9862379529481082,train
41,1.2273600335684614,0.8236331569034167,valid
42,0.04549700339195388,0.9863642102630195,train
43,1.1953319514239276,0.8370370370790862,valid
44,0.04840125766061135,0.9856066663860948,train
45,1.1853500134520218,0.8437389769671876,valid
46,0.04336154197505864,0.9877951264677413,train
47,1.2932399732095223,0.8388007055094213,valid
48,0.04380846125342259,0.9874163545330418,train
49,1.3067486840370892,0.8380952381372873,valid
50,0.04476989784074277,0.9873742687597323,train
51,1.2454658074669107,0.837037037184209,valid
52,0.03935282413297558,0.9881738984049493,train
53,1.2707204579886515,0.8261022927479349,valid
54,0.03709893919784104,0.9888472707377636,train
55,1.2444121424272998,0.8388007054042984,valid
56,0.039901873463428335,0.9879213837801439,train
57,1.2063548281920229,0.8391534393426603,valid
58,0.036891199739627234,0.9893522999898827,train
59,1.2092453321872354,0.8458553790835897,valid
60,1.2576650372788218,0.8505947200810007,valid
61,1.0089557425748241,0.84914418326138,valid
