,intent_loss,intent_acc,set
0,1.3234183990829609,0.6794916133700863,train
1,0.3694404546575259,0.9166132139043215,valid
2,0.345756338584924,0.9141881376860486,train
3,0.27128988768214823,0.936497755200531,valid
4,0.2546374694816736,0.9355006052428168,train
5,0.2441106202359227,0.9413085313390814,valid
6,0.20527159594503133,0.946913366764655,train
7,0.22802759818804424,0.9486850548279905,valid
8,0.17516670081930014,0.954478644322879,train
9,0.23104578205948842,0.9445157152785179,valid
10,0.15504941312825207,0.9583261283277208,train
11,0.2064149312536406,0.9512508019489535,valid
12,0.13762815525204836,0.9627788345355713,train
13,0.22355204578333746,0.9502886467212435,valid
14,0.12323886867642876,0.9653726439770377,train
15,0.21567146098713144,0.9499679282355415,valid
16,0.11348153396374148,0.967836762925817,train
17,0.20923860495368818,0.9560615780875039,valid
18,0.10420645876994868,0.9697388898701728,train
19,0.23167924568202822,0.9509300833867864,valid
20,0.09766508342181907,0.9719436278748055,train
21,0.22306263096859968,0.9563822963438101,valid
22,0.08831622405034045,0.9748832785957477,train
23,0.21204327957763208,0.9550994227833286,valid
24,0.0882183787099387,0.9765260245753431,train
25,0.22005163252382343,0.9534958307371452,valid
26,0.07873015601742583,0.9774770880372141,train
27,0.2133043719786551,0.9557408595253367,valid
28,0.07479967399800337,0.9785146118344145,train
29,0.2181496553605684,0.9550994227833286,valid
30,0.07001600210060006,0.9798547466712779,train
31,0.22554956261376832,0.9563822965732058,valid
32,0.06545392853020592,0.9811516514126248,train
33,0.22157386498259304,0.9602309173311157,valid
34,0.06824963109591274,0.9801573577727823,train
35,0.20703445460989048,0.9576651702101526,valid
36,0.06320330558772135,0.9808922704478644,train
37,0.2166351798427189,0.9557408597547324,valid
38,0.06017604772759704,0.9819297942244509,train
39,0.20826813444791503,0.9576651700572221,valid
40,0.056844279425131414,0.9835725402040464,train
41,0.22005579238751516,0.9579858886193893,valid
42,0.05331850345641859,0.9845668338232751,train
43,0.22181279404833196,0.957985888542924,valid
44,0.0535060167724897,0.984004841777624,train
45,0.21151615550228997,0.9567030149824425,valid
46,0.0531819878442697,0.9837886909908352,train
47,0.22022167503872003,0.9573444517244507,valid
48,0.050097601220576014,0.9853882068543003,train
49,0.23635945331100364,0.9550994227068633,valid
50,0.04843745652322752,0.9856043575998616,train
51,0.2095318684815008,0.9608723540731238,valid
52,0.041798526154015844,0.9877658654677502,train
53,0.23988096525437408,0.9589480437706341,valid
54,0.0439618194371735,0.9869012623205948,train
55,0.21387014906397037,0.9605516357403523,valid
56,0.04447595982102298,0.9855611274631176,train
57,0.22981677892796498,0.9538165491463818,valid
58,0.047682232058339866,0.9860366591734394,train
59,0.22590394405202463,0.9573444518009159,valid
60,0.25122242329179095,0.9575533878510966,valid
61,0.23091901058364034,0.9564988136197218,valid
