,intent_loss,intent_acc,set
0,1.294781370180724,0.697950422969522,train
1,0.9647714235584992,0.7746031747923957,valid
2,0.42907814255021026,0.8925550271503392,train
3,0.8999049832581212,0.7873015872805628,valid
4,0.3279702974391889,0.9167964311266361,train
5,0.8561481782158006,0.7862433861803125,valid
6,0.28469979855030514,0.9258448718513365,train
7,0.8864833059554798,0.7873015874908084,valid
8,0.25070895079392724,0.9315685366802577,train
9,0.9129949192100942,0.7947089947510438,valid
10,0.23269097935515748,0.9382601742401081,train
11,0.8679507020079059,0.7968253967623231,valid
12,0.22015074224633294,0.9384706030890956,train
13,0.9017311308119033,0.7992945326699151,valid
14,0.20168598882177002,0.9452464121930563,train
15,0.9020088233224509,0.7904761905182396,valid
16,0.19169605755604285,0.9477294726678004,train
17,0.903834447217366,0.8014109349334891,valid
18,0.18224006044629357,0.9481924161466102,train
19,0.9004576019088637,0.7911816580375456,valid
20,0.17395457861815924,0.9516855351255927,train
21,0.920944886453568,0.7918871251153358,valid
22,0.16217396213377092,0.953326880184319,train
23,0.9734339341494982,0.7992945326699151,valid
24,0.15596722083021297,0.9554732544951645,train
25,0.9052792377415158,0.8049382714998154,valid
26,0.14956215287638575,0.9580404865115104,train
27,0.9180849911674621,0.797883597925647,valid
28,0.15648154458395183,0.9547157106207484,train
29,1.032839917884302,0.7858906525362946,valid
30,0.14657034834313876,0.9576196288035015,train
31,0.9336273176960214,0.8063492062440836,valid
32,0.13858488065553837,0.9589242876983292,train
33,0.9472212532630463,0.797178130700685,valid
34,0.13888514165805224,0.9598501746559488,train
35,1.0105865150952886,0.7954144620180551,valid
36,0.13237984899652058,0.9608181473868779,train
37,1.1167001042206242,0.7851851850169886,valid
38,0.12826179521392178,0.9636799798063556,train
39,1.0378946380009726,0.7908289240571347,valid
40,1.0685692379223564,0.7951842180742608,valid
41,0.9751014015727849,0.8064984048765087,valid
