,intent_loss,intent_acc,set
0,1.3130440484603985,0.680611085397046,train
1,1.0120782061649167,0.7439153438943193,valid
2,0.43220757516735575,0.8924708556062289,train
3,0.9536300007418139,0.7823633157807472,valid
4,0.33732834070661316,0.9129245402154625,train
5,0.9872145762939722,0.7654320988074812,valid
6,0.29522213567828925,0.9252556710626324,train
7,0.9120083632082325,0.7873015874908084,valid
8,0.26024820579357066,0.9313581078287618,train
9,0.9259208376865958,0.7827160492145195,valid
10,0.24368120924896988,0.9361979714683559,train
11,0.8821624901349372,0.7876543211768754,valid
12,0.22954954217291104,0.9396490046740291,train
13,0.927074761491604,0.7809523808472582,valid
14,0.2170118896482639,0.9424687513201974,train
15,0.9602846926482266,0.7883597884438867,valid
16,0.20226673739289883,0.9454147552762598,train
17,0.9621459553271164,0.7880070545685985,valid
18,0.19242128901527583,0.9473086149597915,train
19,0.9839111815264195,0.7880070547157705,valid
20,0.1824830250469559,0.9505913050822611,train
21,1.0476184447185912,0.7915343915764407,valid
22,0.1850034581817695,0.9507175623946638,train
23,0.9823784419468471,0.7795414463973339,valid
24,0.1678152394204558,0.9527376793905981,train
25,1.0972097456139862,0.7834215167968992,valid
26,0.1633898588453603,0.9549682252455538,train
27,1.1151276746544678,0.780599647455535,valid
28,0.16186270448545603,0.95471571061824,train
29,1.0066915188306644,0.7971781303432673,valid
30,0.15333275262853233,0.9565253987651868,train
31,1.0444285422616115,0.7844797178971494,valid
32,0.148232824777138,0.9571145995563993,train
33,1.09294676183603,0.7897707229358599,valid
34,0.14739365081127737,0.9584613442195193,train
35,1.068551692886958,0.7880070547578196,valid
36,0.14857070190573093,0.9566095703067886,train
37,1.070965123820452,0.7954144622283007,valid
38,0.1481731576730364,0.9595976600311434,train
39,1.1336403319444606,0.7841269842531315,valid
40,1.1404785829279296,0.7943138964528238,valid
41,1.0320966930053252,0.8024369020859055,valid
